Ectn[,1,1]	Ectn[,1,2]	Ectn[,1,3]	Ectn[,1,4]	Ectn[,2,1]	Ectn[,2,2]	Ectn[,2,3]	Ectn[,2,4]	Ectn[,3,1]	Ectn[,3,2]	Ectn[,3,3]	Ectn[,3,4]	Ectn[,4,1]	Ectn[,4,2]	Ectn[,4,3]	Ectn[,4,4]	Ectn[,5,1]	Ectn[,5,2]	Ectn[,5,3]	Ectn[,5,4]	Ectn[,6,1]	Ectn[,6,2]	Ectn[,6,3]	Ectn[,6,4]	Ecgn[,1,1]	Ecgn[,1,2]	Ecgn[,1,3]	Ecgn[,1,4]	Ecgn[,2,1]	Ecgn[,2,2]	Ecgn[,2,3]	Ecgn[,2,4]	Ecgn[,3,1]	Ecgn[,3,2]	Ecgn[,3,3]	Ecgn[,3,4]	Ecgn[,4,1]	Ecgn[,4,2]	Ecgn[,4,3]	Ecgn[,4,4]	Ecgn[,5,1]	Ecgn[,5,2]	Ecgn[,5,3]	Ecgn[,5,4]	Ecgn[,6,1]	Ecgn[,6,2]	Ecgn[,6,3]	Ecgn[,6,4]
15	9	9	0	15	9	9	0	13	7	8	0	14	8	8	0	13	8	6	0	12	6	5	0	0.05	0.05	0.05	0	0.05	0.05	0.05	0	0.07	0.06	0.06	0	0.04	0.03	0.04	0	0.05	0.04	0.04	0	0.07	0.06	0.06	0
15	9	9	0	13	7	8	0	14	8	8	0	13	8	6	0	12	6	5	0	13	8	5	0	0.05	0.05	0.05	0	0.07	0.06	0.06	0	0.04	0.03	0.04	0	0.05	0.04	0.04	0	0.07	0.06	0.06	0	0.07	0.06	0.06	0
13	7	8	0	14	8	8	0	13	8	6	0	12	6	5	0	13	8	5	0	7	5	1	0	0.07	0.06	0.06	0	0.04	0.03	0.04	0	0.05	0.04	0.04	0	0.07	0.06	0.06	0	0.07	0.06	0.06	0	0.03	0.03	0.03	0
14	8	8	0	13	8	6	0	12	6	5	0	13	8	5	0	7	5	1	0	7	5	1	0	0.04	0.03	0.04	0	0.05	0.04	0.04	0	0.07	0.06	0.06	0	0.07	0.06	0.06	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0
13	8	6	0	12	6	5	0	13	8	5	0	7	5	1	0	7	5	1	0	7	5	1	0	0.05	0.04	0.04	0	0.07	0.06	0.06	0	0.07	0.06	0.06	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0
12	6	5	0	13	8	5	0	7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	0.07	0.06	0.06	0	0.07	0.06	0.06	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0
13	8	5	0	7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	0.07	0.06	0.06	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0
7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0
7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0
7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	7	5	1	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0.03	0.03	0.03	0
